volcano_number;volcano_name;primary_volcano_type;last_eruption_year;country;region;subregion;latitude;longitude;elevation;tectonic_settings;evidence_category;major_rock_1;major_rock_2;major_rock_3;major_rock_4;major_rock_5;minor_rock_1;minor_rock_2;minor_rock_3;minor_rock_4;minor_rock_5;population_within_5_km;population_within_10_km;population_within_30_km;population_within_100_km
213020;Nemrut Dagi;stratovolcano;1650;Turkey;Mediterranean and Western Asia;Turkey;38.654;42.229;2948;Intraplate / Continental crust (>25 km);Eruption Observed;Rhyolite;Trachyte / Trachydacite;Trachyandesite / Basaltic Trachyandesite;Basalt / Picro-Basalt;Trachybasalt / Tephrite Basanite; ; ; ; ;NA;608;7399;230531;1618263
360040;Nevis Peak;stratovolcano;Unknown;Saint Kitts and Nevis;West Indies;West Indies;17.15;-62.58;985;Subduction zone / Oceanic crust (< 15 km);Evidence Uncertain;Andesite / Basaltic Andesite;Dacite; ; ; ; ; ; ; ;NA;5363;9541;35673;132863
322110;Newberry;shield;690;United States;Canada and Western USA;USA (Oregon);43.722;-121.229;2434;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;Dacite;Basalt / Picro-Basalt;Rhyolite; ; ; ; ; ;NA;0;0;16437;180091
259010;Newer Volcanics Province;shield;-2900;Australia;Melanesia and Australia;Australia;-37.77;142.5;1011;Intraplate / Continental crust (>25 km);Eruption Dated;Trachybasalt / Tephrite Basanite;Basalt / Picro-Basalt; ; ; ;Trachyte / Trachydacite;Andesite / Basaltic Andesite;Trachyandesite / Basaltic Trachyandesite; ;NA;610361;610361;610361;610361
222164;Ngozi;caldera;1450;Tanzania;Africa and Red Sea;Africa (eastern);-8.989;33.554;2614;Rift zone / Continental crust (>25 km);Eruption Dated;Trachyte / Trachydacite;Phonolite;Trachyandesite / Basaltic Trachyandesite;Basalt / Picro-Basalt; ; ; ; ; ;NA;456466;456466;604376;2195623
283090;Niigata-Yakeyama;lavadome;1998;Japan;Japan, Taiwan, Marianas;Honshu;36.921;138.036;2400;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Dacite; ; ; ; ; ; ; ;NA;73;610;226866;3920252
284020;Niijima;lavadome;886;Japan;Japan, Taiwan, Marianas;Izu, Volcano, and Mariana Islands;34.397;139.27;432;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Rhyolite; ; ; ; ;Basalt / Picro-Basalt; ; ; ;NA;3060;3349;6139;1347661
283140;Nikko-Shiranesan;shield;1952;Japan;Japan, Taiwan, Marianas;Honshu;36.799;139.376;2578;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite; ; ; ; ; ; ; ; ;NA;513;2502;79844;9303980
285031;Niseko;stratovolcano;-4900;Japan;Japan, Taiwan, Marianas;Hokkaido;42.875;140.659;1308;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite; ; ; ; ; ; ; ; ;NA;778;9981;75171;2967982
290060;Nishihitokappuyama [Bogatyr Ridge];stratovolcano;Unknown;Japan - administered by Russia;Kuril Islands;Kuril Islands;44.833;147.342;1634;Subduction zone / Intermediate crust (15-25 km);Evidence Credible;Andesite / Basaltic Andesite;Dacite; ; ; ; ; ; ; ;NA;5;130;1268;5735
212050;Nisyros;stratovolcano;1888;Greece;Mediterranean and Western Asia;Greece;36.586;27.16;698;Subduction zone / Continental crust (>25 km);Eruption Observed;Dacite;Andesite / Basaltic Andesite;Rhyolite; ; ; ; ; ; ;NA;672;680;14285;461031
243110;Niuafo'ou;shield;1985;Tonga;New Zealand to Fiji;Tonga Islands;-15.6;-175.63;260;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;118;155;155;155
